artist_name,track_name,date,stream_count,track_url,track_position,uri,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
travis scott,highest in the room (feat. rosalía & lil baby) - remix,31/12/2019,2040997,https://open.spotify.com/track/7h0d2h0fUmzbs7zeFigJPn,28,7h0d2h0fUmzbs7zeFigJPn,0.559,0.491,2,-6.406,0,0.0346,0.0567,0,0.0992,0.114,153.131,244874,4
the weeknd,heartless,31/12/2019,2030149,https://open.spotify.com/track/57vxBYXtHMk6H1aD29V7PU,29,57vxBYXtHMk6H1aD29V7PU,0.531,0.75,10,-5.831,0,0.111,0.00632,7.60E-05,0.117,0.198,169.954,200080,4
lil nas x,old town road - remix,31/12/2019,2024734,https://open.spotify.com/track/2YpeDb67231RjR0MgVLzsG,30,2YpeDb67231RjR0MgVLzsG,0.878,0.619,6,-5.56,1,0.102,0.0533,0,0.113,0.639,136.041,157067,4
meduza,lose control,31/12/2019,2014020,https://open.spotify.com/track/7CHi4DtfK4heMlQaudCuHK,31,7CHi4DtfK4heMlQaudCuHK,0.598,0.526,10,-8.659,0,0.0415,0.129,0,0.14,0.529,123.935,168387,4
rauw alejandro,fantasias,31/12/2019,1947821,https://open.spotify.com/track/6mAN61JH0dzyZpWslS11jy,32,6mAN61JH0dzyZpWslS11jy,0.879,0.703,1,-4.219,1,0.0701,0.143,0,0.0569,0.788,94.004,199711,4
ariana grande,7 rings,31/12/2019,1923446,https://open.spotify.com/track/6ocbgoVGwYJhOv1GgI9NsF,33,6ocbgoVGwYJhOv1GgI9NsF,0.778,0.317,1,-10.732,0,0.334,0.592,0,0.0881,0.327,140.048,178627,4
tyga,ayy macarena,31/12/2019,1861987,https://open.spotify.com/track/6LcauUZjF1eXQrgqMUecHX,34,6LcauUZjF1eXQrgqMUecHX,0.816,0.63,2,-5.568,1,0.226,0.133,0,0.0692,0.715,96.493,131607,4
lewis capaldi,before you go,31/12/2019,1861973,https://open.spotify.com/track/2gMXnyrvIjhVBUZwvLZDMP,35,2gMXnyrvIjhVBUZwvLZDMP,0.459,0.575,3,-4.858,1,0.0573,0.604,0,0.0885,0.183,111.881,215107,4
don toliver,no idea,31/12/2019,1860506,https://open.spotify.com/track/3VyjsVV24RmBIbWJAeUJNu,36,3VyjsVV24RmBIbWJAeUJNu,0.651,0.631,6,-5.717,0,0.0896,0.519,0.000579,0.165,0.35,127.994,154424,4
juice wrld,lucid dreams,31/12/2019,1853342,https://open.spotify.com/track/285pBltuF7vW8TeWk8hdRR,37,285pBltuF7vW8TeWk8hdRR,0.511,0.566,6,-7.23,0,0.2,0.349,0,0.34,0.218,83.903,239836,4
juice wrld,bandit (with youngboy never broke again),31/12/2019,1852720,https://open.spotify.com/track/6Gg1gjgKi2AK4e0qzsR7sd,38,6Gg1gjgKi2AK4e0qzsR7sd,0.474,0.631,5,-5.884,0,0.343,0.0687,0,0.132,0.425,180.051,189323,4
sam smith,how do you sleep?,31/12/2019,1747155,https://open.spotify.com/track/6b2RcmUt1g9N9mQ3CbjX2Y,39,6b2RcmUt1g9N9mQ3CbjX2Y,0.477,0.682,1,-4.931,0,0.0925,0.153,0,0.0763,0.345,110.567,202205,5
lizzo,good as hell (feat. ariana grande) - remix,31/12/2019,1721236,https://open.spotify.com/track/07Oz5StQ7GRoygNLaXs2pd,40,07Oz5StQ7GRoygNLaXs2pd,0.668,0.892,5,-3.001,0,0.0645,0.298,0,0.735,0.478,95.927,159011,4
lil uzi vert,futsal shuffle 2020,31/12/2019,1719988,https://open.spotify.com/track/2Ec33AVlkTTq8BHFgBTdQs,41,2Ec33AVlkTTq8BHFgBTdQs,0.881,0.457,7,-8.191,0,0.156,0.0327,0,0.231,0.296,136.97,198913,4
ed sheeran,south of the border (feat. camila cabello & cardi b),31/12/2019,1711573,https://open.spotify.com/track/4vUmTMuQqjdnvlZmAH61Qk,42,4vUmTMuQqjdnvlZmAH61Qk,0.857,0.621,9,-6.376,0,0.0824,0.148,0,0.0865,0.668,97.986,204467,4
j balvin,la canción,31/12/2019,1678283,https://open.spotify.com/track/0fea68AdmYNygeTGI4RC18,43,0fea68AdmYNygeTGI4RC18,0.754,0.646,7,-5.795,1,0.317,0.152,1.85E-05,0.108,0.429,176.089,242573,4
dalex,hola - remix,31/12/2019,1654813,https://open.spotify.com/track/5stPVcRqb4qixbafP9e8lt,44,5stPVcRqb4qixbafP9e8lt,0.654,0.672,0,-5.98,0,0.311,0.471,0,0.0781,0.343,181.857,249520,4
meduza,piece of your heart,31/12/2019,1632440,https://open.spotify.com/track/1DFD5Fotzgn6yYXkYsKiGs,45,1DFD5Fotzgn6yYXkYsKiGs,0.677,0.744,10,-6.806,0,0.0295,0.0404,0.00016,0.074,0.631,124.08,152913,4
dan + shay,"10,000 hours (with justin bieber)",31/12/2019,1623320,https://open.spotify.com/track/2wrJq5XKLnmhRXHIAf9xBa,46,2wrJq5XKLnmhRXHIAf9xBa,0.654,0.63,10,-4.644,1,0.0259,0.153,0,0.111,0.43,89.991,167693,4
y2k,lalala,31/12/2019,1622338,https://open.spotify.com/track/51Fjme0JiitpyXKuyQiCDo,47,51Fjme0JiitpyXKuyQiCDo,0.843,0.391,2,-7.899,1,0.0845,0.181,0,0.137,0.496,129.972,160627,4
bad bunny,callaita,31/12/2019,1607611,https://open.spotify.com/track/2TH65lNHgvLxCKXM3apjxI,48,2TH65lNHgvLxCKXM3apjxI,0.61,0.624,2,-4.773,1,0.309,0.6,2.12E-06,0.243,0.244,176.169,250534,4
nicky jam,whine up,31/12/2019,1601092,https://open.spotify.com/track/2pWOMNQJW3g2zmGjP0Vkb0,49,2pWOMNQJW3g2zmGjP0Vkb0,0.817,0.665,9,-6.224,0,0.0758,0.0549,0,0.103,0.662,104.957,215460,4
dímelo flow,sigues con el,31/12/2019,1570584,https://open.spotify.com/track/7sQKy5vlPQllr0k9IjYJv3,50,7sQKy5vlPQllr0k9IjYJv3,0.883,0.668,9,-2.957,1,0.113,0.11,0.000529,0.0734,0.676,87.972,226533,4
tones and i,dance monkey,30/12/2019,7032353,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku,1,1rgnBhdG2JDFTbYkYRZAku,0.825,0.593,6,-6.401,0,0.0988,0.688,0.000161,0.17,0.54,98.078,209755,4
arizona zervas,roxanne,30/12/2019,4635496,https://open.spotify.com/track/696DnlkuDOXcMAnKlTgXXK,2,696DnlkuDOXcMAnKlTgXXK,0.621,0.601,6,-5.616,0,0.148,0.0522,0,0.46,0.457,116.735,163636,5
karol g,tusa,30/12/2019,4117114,https://open.spotify.com/track/7k4t7uLgtOxPwTpFmtJNTY,3,7k4t7uLgtOxPwTpFmtJNTY,0.803,0.715,2,-3.28,1,0.298,0.295,0.000134,0.0574,0.574,101.085,200960,4
maroon 5,memories,30/12/2019,3777595,https://open.spotify.com/track/2b8fOow8UzyDFAE27YhOZM,4,2b8fOow8UzyDFAE27YhOZM,0.764,0.32,11,-7.209,1,0.0546,0.837,0,0.0822,0.575,91.019,189486,4
trevor daniel,falling,30/12/2019,3673589,https://open.spotify.com/track/4TnjEaWOeW0eKTKIEvJyCa,5,4TnjEaWOeW0eKTKIEvJyCa,0.784,0.43,10,-8.756,0,0.0364,0.123,0,0.0887,0.236,127.087,159382,4
dua lipa,don't start now,30/12/2019,3673293,https://open.spotify.com/track/6WrI0LAC5M1Rw2MnX2ZvEg,6,6WrI0LAC5M1Rw2MnX2ZvEg,0.794,0.793,11,-4.521,0,0.0842,0.0125,0,0.0952,0.677,123.941,183290,4
post malone,circles,30/12/2019,3595116,https://open.spotify.com/track/21jGcNKet2qwijlDFuPiPb,7,21jGcNKet2qwijlDFuPiPb,0.695,0.762,0,-3.497,1,0.0395,0.192,0.00244,0.0863,0.553,120.042,215280,4
the weeknd,blinding lights,30/12/2019,3487070,https://open.spotify.com/track/0sf12qNH5qcw8qpgymFOqD,8,0sf12qNH5qcw8qpgymFOqD,0.513,0.796,1,-4.075,1,0.0629,0.00147,0.000209,0.0938,0.345,171.017,201573,4
billie eilish,everything i wanted,30/12/2019,3195625,https://open.spotify.com/track/3ZCTVFBt2Brf31RLEnCkWJ,9,3ZCTVFBt2Brf31RLEnCkWJ,0.704,0.225,6,-14.454,0,0.0994,0.902,0.657,0.106,0.243,120.006,245426,4
shawn mendes,señorita,30/12/2019,3170856,https://open.spotify.com/track/6v3KW9xbzN5yKLt9YKDYA2,10,6v3KW9xbzN5yKLt9YKDYA2,0.759,0.548,9,-6.049,0,0.029,0.0392,0,0.0828,0.749,116.967,190800,4
black eyed peas,ritmo (bad boys for life),30/12/2019,2950082,https://open.spotify.com/track/6cy3ki60hLwimwIje7tALf,11,6cy3ki60hLwimwIje7tALf,0.721,0.716,10,-7.037,0,0.0657,0.0334,0.00084,0.237,0.667,104.994,221714,4
lewis capaldi,someone you loved,30/12/2019,2926156,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf,12,7qEHsqek33rTcFNT9PFqLf,0.501,0.405,1,-5.679,1,0.0319,0.751,0,0.105,0.446,109.891,182161,4
roddy ricch,the box,30/12/2019,2739234,https://open.spotify.com/track/0nbXyq5TXYPCO7pr3N8S4I,13,0nbXyq5TXYPCO7pr3N8S4I,0.896,0.586,10,-6.687,0,0.0559,0.104,0,0.79,0.642,116.971,196653,4
billie eilish,bad guy,30/12/2019,2636574,https://open.spotify.com/track/2Fxmhks0bxGSBdJ92vM42m,14,2Fxmhks0bxGSBdJ92vM42m,0.701,0.425,7,-10.965,1,0.375,0.328,0.13,0.1,0.562,135.128,194088,4
harry styles,adore you,30/12/2019,2588147,https://open.spotify.com/track/3jjujdWJ72nww5eGnfs2E7,15,3jjujdWJ72nww5eGnfs2E7,0.676,0.771,8,-3.675,1,0.0483,0.0237,7.00E-06,0.102,0.569,99.048,207133,4
camila cabello,my oh my (feat. dababy),30/12/2019,2381640,https://open.spotify.com/track/3yOlyBJuViE2YSGn3nVE1K,16,3yOlyBJuViE2YSGn3nVE1K,0.724,0.491,8,-6.024,1,0.0296,0.018,1.29E-05,0.0887,0.383,105.046,170746,4
selena gomez,lose you to love me,30/12/2019,2350006,https://open.spotify.com/track/1HfMVBKM75vxSfsQ5VefZ5,17,1HfMVBKM75vxSfsQ5VefZ5,0.505,0.34,4,-9.005,1,0.0438,0.576,0,0.21,0.0916,101.993,206459,4
blackbear,hot girl bummer,30/12/2019,2230283,https://open.spotify.com/track/7aiClxsDWFRQ0Kzk5KI5ku,18,7aiClxsDWFRQ0Kzk5KI5ku,0.778,0.559,6,-7.109,0,0.0776,0.128,0,0.399,0.678,129.989,185093,1
bad bunny,vete,30/12/2019,2189393,https://open.spotify.com/track/5DxXgozhkPLgrbKFY91w0c,19,5DxXgozhkPLgrbKFY91w0c,0.886,0.672,1,-4.394,1,0.188,0.0363,8.78E-06,0.101,0.526,91.976,192024,4
harry styles,watermelon sugar,30/12/2019,2144110,https://open.spotify.com/track/6UelLqGlWMcVH1E5c4H7lY,20,6UelLqGlWMcVH1E5c4H7lY,0.548,0.816,0,-4.209,1,0.0465,0.122,0,0.335,0.557,95.39,174000,4
regard,ride it,30/12/2019,2136047,https://open.spotify.com/track/2tnVG71enUj33Ic2nFN6kZ,21,2tnVG71enUj33Ic2nFN6kZ,0.88,0.751,7,-4.258,0,0.0874,0.177,6.43E-05,0.106,0.884,117.948,157606,4
travis scott,highest in the room (feat. rosalía & lil baby) - remix,30/12/2019,2055751,https://open.spotify.com/track/7h0d2h0fUmzbs7zeFigJPn,22,7h0d2h0fUmzbs7zeFigJPn,0.559,0.491,2,-6.406,0,0.0346,0.0567,0,0.0992,0.114,153.131,244874,4
travis scott,highest in the room,30/12/2019,1934266,https://open.spotify.com/track/3eekarcy7kvN4yt5ZFzltW,23,3eekarcy7kvN4yt5ZFzltW,0.598,0.427,7,-8.764,0,0.0317,0.0546,5.83E-06,0.21,0.0605,76.469,175721,4
post malone,sunflower - spider-man: into the spider-verse,30/12/2019,1876957,https://open.spotify.com/track/0RiRZpuVRbi7oqRdSMwhQY,24,0RiRZpuVRbi7oqRdSMwhQY,0.755,0.522,2,-4.368,1,0.0575,0.533,0,0.0685,0.925,89.96,157560,4
the weeknd,heartless,30/12/2019,1851478,https://open.spotify.com/track/57vxBYXtHMk6H1aD29V7PU,25,57vxBYXtHMk6H1aD29V7PU,0.531,0.75,10,-5.831,0,0.111,0.00632,7.60E-05,0.117,0.198,169.954,200080,4
ed sheeran,beautiful people (feat. khalid),30/12/2019,1850979,https://open.spotify.com/track/70eFcWOvlMObDhURTqT4Fv,26,70eFcWOvlMObDhURTqT4Fv,0.64,0.648,5,-8.113,0,0.187,0.124,0,0.0802,0.548,92.977,197867,4
dababy,bop,30/12/2019,1838073,https://open.spotify.com/track/6Ozh9Ok6h4Oi1wUSLtBseN,27,6Ozh9Ok6h4Oi1wUSLtBseN,0.769,0.787,11,-3.909,1,0.367,0.189,0,0.129,0.836,126.77,159715,4
anuel aa,china,30/12/2019,1827402,https://open.spotify.com/track/2ksOAxtIxY8yElEWw8RhgK,28,2ksOAxtIxY8yElEWw8RhgK,0.786,0.808,7,-3.702,1,0.0882,0.0846,0.000289,0.0822,0.609,105.027,301714,4
ed sheeran,i don't care (with justin bieber),30/12/2019,1824740,https://open.spotify.com/track/0hVXuCcriWRGvwMV1r5Yn9,29,0hVXuCcriWRGvwMV1r5Yn9,0.798,0.675,6,-5.041,1,0.0442,0.0912,0,0.0894,0.842,101.956,219947,4
juice wrld,lucid dreams,30/12/2019,1778453,https://open.spotify.com/track/285pBltuF7vW8TeWk8hdRR,30,285pBltuF7vW8TeWk8hdRR,0.511,0.566,6,-7.23,0,0.2,0.349,0,0.34,0.218,83.903,239836,4
don toliver,no idea,30/12/2019,1772413,https://open.spotify.com/track/3VyjsVV24RmBIbWJAeUJNu,31,3VyjsVV24RmBIbWJAeUJNu,0.651,0.631,6,-5.717,0,0.0896,0.519,0.000579,0.165,0.35,127.994,154424,4
lewis capaldi,before you go,30/12/2019,1756984,https://open.spotify.com/track/2gMXnyrvIjhVBUZwvLZDMP,32,2gMXnyrvIjhVBUZwvLZDMP,0.459,0.575,3,-4.858,1,0.0573,0.604,0,0.0885,0.183,111.881,215107,4
juice wrld,bandit (with youngboy never broke again),30/12/2019,1702110,https://open.spotify.com/track/6Gg1gjgKi2AK4e0qzsR7sd,33,6Gg1gjgKi2AK4e0qzsR7sd,0.474,0.631,5,-5.884,0,0.343,0.0687,0,0.132,0.425,180.051,189323,4
rauw alejandro,fantasias,30/12/2019,1680449,https://open.spotify.com/track/6mAN61JH0dzyZpWslS11jy,34,6mAN61JH0dzyZpWslS11jy,0.879,0.703,1,-4.219,1,0.0701,0.143,0,0.0569,0.788,94.004,199711,4
lil uzi vert,futsal shuffle 2020,30/12/2019,1610435,https://open.spotify.com/track/2Ec33AVlkTTq8BHFgBTdQs,35,2Ec33AVlkTTq8BHFgBTdQs,0.881,0.457,7,-8.191,0,0.156,0.0327,0,0.231,0.296,136.97,198913,4
jackboys,out west (feat. young thug),30/12/2019,1594008,https://open.spotify.com/track/6gi6y1xwmVszDWkUqab1qw,36,6gi6y1xwmVszDWkUqab1qw,0.802,0.591,8,-4.895,1,0.225,0.0104,0,0.196,0.309,139.864,157712,4
sam smith,how do you sleep?,30/12/2019,1560975,https://open.spotify.com/track/6b2RcmUt1g9N9mQ3CbjX2Y,37,6b2RcmUt1g9N9mQ3CbjX2Y,0.477,0.682,1,-4.931,0,0.0925,0.153,0,0.0763,0.345,110.567,202205,5
meduza,lose control,30/12/2019,1545697,https://open.spotify.com/track/7CHi4DtfK4heMlQaudCuHK,38,7CHi4DtfK4heMlQaudCuHK,0.598,0.526,10,-8.659,0,0.0415,0.129,0,0.14,0.529,123.935,168387,4
dan + shay,"10,000 hours (with justin bieber)",30/12/2019,1528593,https://open.spotify.com/track/2wrJq5XKLnmhRXHIAf9xBa,39,2wrJq5XKLnmhRXHIAf9xBa,0.654,0.63,10,-4.644,1,0.0259,0.153,0,0.111,0.43,89.991,167693,4
ariana grande,7 rings,30/12/2019,1485772,https://open.spotify.com/track/6ocbgoVGwYJhOv1GgI9NsF,40,6ocbgoVGwYJhOv1GgI9NsF,0.778,0.317,1,-10.732,0,0.334,0.592,0,0.0881,0.327,140.048,178627,4
ed sheeran,south of the border (feat. camila cabello & cardi b),30/12/2019,1479792,https://open.spotify.com/track/4vUmTMuQqjdnvlZmAH61Qk,41,4vUmTMuQqjdnvlZmAH61Qk,0.857,0.621,9,-6.376,0,0.0824,0.148,0,0.0865,0.668,97.986,204467,4
j balvin,la canción,30/12/2019,1471764,https://open.spotify.com/track/0fea68AdmYNygeTGI4RC18,42,0fea68AdmYNygeTGI4RC18,0.754,0.646,7,-5.795,1,0.317,0.152,1.85E-05,0.108,0.429,176.089,242573,4
y2k,lalala,30/12/2019,1436734,https://open.spotify.com/track/51Fjme0JiitpyXKuyQiCDo,43,51Fjme0JiitpyXKuyQiCDo,0.843,0.391,2,-7.899,1,0.0845,0.181,0,0.137,0.496,129.972,160627,4
lil nas x,old town road - remix,30/12/2019,1428566,https://open.spotify.com/track/2YpeDb67231RjR0MgVLzsG,44,2YpeDb67231RjR0MgVLzsG,0.878,0.619,6,-5.56,1,0.102,0.0533,0,0.113,0.639,136.041,157067,4
dalex,hola - remix,30/12/2019,1428224,https://open.spotify.com/track/5stPVcRqb4qixbafP9e8lt,45,5stPVcRqb4qixbafP9e8lt,0.654,0.672,0,-5.98,0,0.311,0.471,0,0.0781,0.343,181.857,249520,4
ynw melly,suicidal,30/12/2019,1374822,https://open.spotify.com/track/1iSqfoUFnQwV0QW1EfUit8,46,1iSqfoUFnQwV0QW1EfUit8,0.735,0.369,9,-9.682,0,0.0688,0.334,0,0.126,0.235,140.004,222997,4
bad bunny,callaita,30/12/2019,1367607,https://open.spotify.com/track/2TH65lNHgvLxCKXM3apjxI,47,2TH65lNHgvLxCKXM3apjxI,0.61,0.624,2,-4.773,1,0.309,0.6,2.12E-06,0.243,0.244,176.169,250534,4
jackboys,gang gang,30/12/2019,1356241,https://open.spotify.com/track/6uJONCdr2rC65BNmCnTBWK,48,6uJONCdr2rC65BNmCnTBWK,0.859,0.6,7,-4.63,0,0.301,0.071,0,0.353,0.568,123.017,244761,4
dímelo flow,sigues con el,30/12/2019,1347491,https://open.spotify.com/track/7sQKy5vlPQllr0k9IjYJv3,49,7sQKy5vlPQllr0k9IjYJv3,0.883,0.668,9,-2.957,1,0.113,0.11,0.000529,0.0734,0.676,87.972,226533,4
tyga,ayy macarena,30/12/2019,1339969,https://open.spotify.com/track/6LcauUZjF1eXQrgqMUecHX,50,6LcauUZjF1eXQrgqMUecHX,0.816,0.63,2,-5.568,1,0.226,0.133,0,0.0692,0.715,96.493,131607,4
tones and i,dance monkey,29/12/2019,6427993,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku,1,1rgnBhdG2JDFTbYkYRZAku,0.825,0.593,6,-6.401,0,0.0988,0.688,0.000161,0.17,0.54,98.078,209755,4
arizona zervas,roxanne,29/12/2019,4301494,https://open.spotify.com/track/696DnlkuDOXcMAnKlTgXXK,2,696DnlkuDOXcMAnKlTgXXK,0.621,0.601,6,-5.616,0,0.148,0.0522,0,0.46,0.457,116.735,163636,5
karol g,tusa,29/12/2019,3873502,https://open.spotify.com/track/7k4t7uLgtOxPwTpFmtJNTY,3,7k4t7uLgtOxPwTpFmtJNTY,0.803,0.715,2,-3.28,1,0.298,0.295,0.000134,0.0574,0.574,101.085,200960,4
maroon 5,memories,29/12/2019,3429550,https://open.spotify.com/track/2b8fOow8UzyDFAE27YhOZM,4,2b8fOow8UzyDFAE27YhOZM,0.764,0.32,11,-7.209,1,0.0546,0.837,0,0.0822,0.575,91.019,189486,4
trevor daniel,falling,29/12/2019,3389705,https://open.spotify.com/track/4TnjEaWOeW0eKTKIEvJyCa,5,4TnjEaWOeW0eKTKIEvJyCa,0.784,0.43,10,-8.756,0,0.0364,0.123,0,0.0887,0.236,127.087,159382,4
dua lipa,don't start now,29/12/2019,3273015,https://open.spotify.com/track/6WrI0LAC5M1Rw2MnX2ZvEg,6,6WrI0LAC5M1Rw2MnX2ZvEg,0.794,0.793,11,-4.521,0,0.0842,0.0125,0,0.0952,0.677,123.941,183290,4
post malone,circles,29/12/2019,3255914,https://open.spotify.com/track/21jGcNKet2qwijlDFuPiPb,7,21jGcNKet2qwijlDFuPiPb,0.695,0.762,0,-3.497,1,0.0395,0.192,0.00244,0.0863,0.553,120.042,215280,4
